,datetime,NDVI,siteNumber
0,2013-07-04,0.7581140995025635,0
1,2013-07-12,,0
2,2013-07-20,0.8186549544334412,0
3,2013-07-28,,0
4,2013-08-05,,0
5,2013-08-13,,0
6,2013-08-21,0.045877426862716675,0
7,2013-08-29,,0
8,2013-09-06,,0
9,2013-09-14,,0
10,2013-09-22,0.5658915042877197,0
11,2013-09-30,,0
12,2013-10-08,0.3814089894294739,0
13,2013-10-16,,0
14,2013-10-24,0.2785809338092804,0
15,2013-11-01,,0
16,2013-11-09,0.26881352066993713,0
17,2013-11-17,,0
18,2013-11-25,0.23591865599155426,0
19,2013-12-03,,0
20,2013-12-11,0.24806688725948334,0
21,2013-12-19,,0
22,2013-12-27,0.2477482408285141,0
23,2014-01-01,,0
24,2014-01-09,0.24601440131664276,0
25,2014-01-17,,0
26,2014-01-25,0.2307555377483368,0
27,2014-02-02,,0
28,2014-02-10,0.18707260489463806,0
29,2014-02-18,,0
30,2014-02-26,0.23568782210350037,0
31,2014-03-06,,0
32,2014-03-14,0.22477391362190247,0
33,2014-03-22,,0
34,2014-03-30,0.1000940129160881,0
35,2014-04-07,,0
36,2014-04-15,0.016788918524980545,0
37,2014-04-23,,0
38,2014-05-01,0.2744538486003876,0
39,2014-05-09,,0
40,2014-05-17,0.2617364525794983,0
41,2014-05-25,,0
42,2014-06-02,0.499434232711792,0
43,2014-06-10,,0
44,2014-06-18,0.15015682578086853,0
45,2014-06-26,,0
46,2014-07-04,,0
47,2014-07-12,,0
48,2014-07-20,0.8030713796615601,0
49,2014-07-28,,0
50,2014-08-05,0.8073229193687439,0
51,2014-08-13,,0
52,2014-08-21,0.7719532251358032,0
53,2014-08-29,,0
54,2014-09-06,,0
55,2014-09-14,,0
56,2014-09-22,0.4860197901725769,0
57,2014-09-30,,0
58,2014-10-08,-0.009632262401282787,0
59,2014-10-16,,0
60,2014-10-24,-0.0023989167530089617,0
61,2014-11-01,,0
62,2014-11-09,0.005448977462947369,0
63,2014-11-17,,0
64,2014-11-25,0.030338896438479424,0
65,2014-12-03,,0
66,2014-12-11,0.058131441473960876,0
67,2014-12-19,,0
68,2014-12-27,0.05393604561686516,0
69,2015-01-01,,0
70,2015-01-09,0.04748938977718353,0
71,2015-01-17,,0
72,2015-01-25,0.03627980500459671,0
73,2015-02-02,,0
74,2015-02-10,0.18131227791309357,0
75,2015-02-18,,0
76,2015-02-26,0.1647554337978363,0
77,2015-03-06,,0
78,2015-03-14,0.1940278857946396,0
79,2015-03-22,,0
80,2015-03-30,0.0651942789554596,0
81,2015-04-07,,0
82,2015-04-15,0.23030336201190948,0
83,2015-04-23,,0
84,2015-05-01,0.2893697917461395,0
85,2015-05-09,,0
86,2015-05-17,0.11458141356706619,0
87,2015-05-25,,0
88,2015-06-02,0.5758060216903687,0
89,2015-06-10,,0
90,2015-06-18,0.4870387017726898,0
91,2015-06-26,,0
92,2015-07-04,0.6226060390472412,0
93,2015-07-12,,0
94,2015-07-20,0.6277584433555603,0
95,2015-07-28,,0
96,2015-08-05,0.7703792452812195,0
97,2015-08-13,,0
98,2015-08-21,0.7299798727035522,0
99,2015-08-29,,0
100,2015-09-06,0.6858716607093811,0
101,2015-09-14,,0
102,2015-09-22,0.4232041835784912,0
103,2015-09-30,,0
104,2015-10-08,0.34129753708839417,0
105,2015-10-16,,0
106,2015-10-24,0.06913961470127106,0
107,2015-11-01,,0
108,2015-11-09,0.24859552085399628,0
109,2015-11-17,,0
110,2015-11-25,0.24067269265651703,0
111,2015-12-03,,0
112,2015-12-11,0.1556592732667923,0
113,2015-12-19,,0
114,2015-12-27,0.20153549313545227,0
115,2016-01-01,0.20153549313545227,0
116,2016-01-09,,0
117,2016-01-17,0.12377646565437317,0
118,2016-01-25,,0
119,2016-02-02,0.2117520570755005,0
120,2016-02-10,,0
121,2016-02-18,0.14707456529140472,0
122,2016-02-26,,0
123,2016-03-05,0.21981707215309143,0
124,2016-03-13,,0
125,2016-03-21,0.0815391093492508,0
126,2016-03-29,,0
127,2016-04-06,0.06816766411066055,0
128,2016-04-14,,0
129,2016-04-22,0.2517394423484802,0
130,2016-04-30,,0
131,2016-05-08,0.3731984794139862,0
132,2016-05-16,,0
133,2016-05-24,0.07694007456302643,0
134,2016-06-01,,0
135,2016-06-09,0.6179357171058655,0
136,2016-06-17,,0
137,2016-06-25,0.7260158658027649,0
138,2016-07-03,,0
139,2016-07-11,0.4099113643169403,0
140,2016-07-19,,0
141,2016-07-27,0.8281704783439636,0
142,2016-08-04,,0
143,2016-08-12,,0
144,2016-08-20,,0
145,2016-08-28,0.6793265342712402,0
146,2016-09-05,,0
147,2016-09-13,0.6816403865814209,0
148,2016-09-21,,0
149,2016-09-29,0.5194171667098999,0
